English, français
merchant, vendeur
seller, commerçant
fulfillment message, message de confirmation
order ID, numéro de commande
wallet, porte-monnaie (virtuel)
order, commande
provider, fournisseur
template, gabarit
token, jeton
found, introuvable
administrator, administrateur boutique
